GeneID	GCa_3
ENSG00000000003	2.920035711
ENSG00000000005	0.045275612
ENSG00000000419	7.307491298
ENSG00000000457	3.964340403
ENSG00000000460	3.090684613
ENSG00000000938	3.399189739
ENSG00000000971	22.32305393
ENSG00000001036	12.05761039
ENSG00000001084	6.718316637
ENSG00000001167	11.27229287
ENSG00000001460	1.08771054
ENSG00000001461	5.865191394
ENSG00000001497	11.7250793
ENSG00000001561	1.295610006
ENSG00000001617	3.247441595
ENSG00000001626	10.54706822
ENSG00000001629	6.866801171
ENSG00000001630	14.65985942
ENSG00000001631	8.855186761
ENSG00000002016	2.018060458
ENSG00000002079	0.528381947
ENSG00000002330	7.738913372
ENSG00000002549	19.69511057
ENSG00000002586	23.75039494
ENSG00000002587	0.961085663
ENSG00000002726	9.327754858
ENSG00000002745	0.074510616
ENSG00000002746	0.250547748
ENSG00000002822	14.03095186
ENSG00000002834	32.79753544
ENSG00000002919	2.42574827
ENSG00000002933	5.866699035
ENSG00000003056	12.94344681
ENSG00000003096	0.306203099
ENSG00000003137	0.188956842
ENSG00000003147	14.97816483
ENSG00000003249	0.6085889
ENSG00000003393	3.56840481
ENSG00000003400	5.673137089
ENSG00000003402	13.49656304
ENSG00000003436	7.149983106
ENSG00000003509	3.766808573
ENSG00000003756	42.06201019
ENSG00000003987	0.687274035
ENSG00000003989	1.011260341
ENSG00000004059	3.441446626
ENSG00000004139	2.779522284
ENSG00000004142	7.70980418
ENSG00000004399	6.936557292
ENSG00000004455	13.32206097
ENSG00000004468	3.175919622
ENSG00000004478	14.66318
ENSG00000004487	12.80837487
ENSG00000004534	71.65255212
ENSG00000004660	2.45793801
ENSG00000004700	7.158172545
ENSG00000004766	3.03274127
ENSG00000004776	3.386468549
ENSG00000004777	0.406504989
ENSG00000004779	5.755567866
ENSG00000004799	5.516631455
ENSG00000004838	0.212129437
ENSG00000004846	0.456717798
ENSG00000004848	0.549194003
ENSG00000004864	7.747824718
ENSG00000004866	1.805584964
ENSG00000004897	4.596806006
ENSG00000004939	0.055149412
ENSG00000004961	5.71287092
ENSG00000004975	2.388916192
ENSG00000005001	4.835152125
ENSG00000005007	10.93688567
ENSG00000005020	10.50708615
ENSG00000005022	22.11109977
ENSG00000005059	4.299490289
ENSG00000005075	6.670718231
ENSG00000005100	2.788963314
ENSG00000005102	5.277861899
ENSG00000005108	1.851968209
ENSG00000005156	4.293841065
ENSG00000005175	6.321701649
ENSG00000005187	0.947438393
ENSG00000005189	1.399758169
ENSG00000005194	4.369330969
ENSG00000005206	9.231843362
ENSG00000005238	1.99797153
ENSG00000005243	0.826995379
ENSG00000005249	5.272613106
ENSG00000005302	5.44982413
ENSG00000005339	10.10374051
ENSG00000005379	4.151660117
ENSG00000005381	0.013782139
ENSG00000005421	0.128696567
ENSG00000005436	4.379404055
ENSG00000005448	1.248878685
ENSG00000005469	3.284292964
ENSG00000005471	0.78788265
ENSG00000005483	38.57500791
ENSG00000005486	1.662331535
ENSG00000005513	0.230259995
ENSG00000005700	13.48614896
ENSG00000005801	4.515691795
ENSG00000005810	22.09288967
ENSG00000005812	9.59290617
ENSG00000005844	10.96634742
ENSG00000005882	1.941705051
ENSG00000005884	14.36011052
ENSG00000005889	9.64710719
ENSG00000005893	4.26510577
ENSG00000005961	0.12693919
ENSG00000006007	6.861298927
ENSG00000006015	5.731999974
ENSG00000006016	2.117412463
ENSG00000006025	8.329761925
ENSG00000006042	2.215714729
ENSG00000006047	2.488720723
ENSG00000006062	6.244712817
ENSG00000006071	0.028678562
ENSG00000006118	1.871383665
ENSG00000006125	15.20901322
ENSG00000006194	4.72663483
ENSG00000006210	2.253943017
ENSG00000006282	5.176452269
ENSG00000006283	0.020020939
ENSG00000006327	5.430215145
ENSG00000006432	1.322201887
ENSG00000006451	34.11652232
ENSG00000006453	25.52850637
ENSG00000006459	12.3937387
ENSG00000006468	0.765626798
ENSG00000006530	4.167795172
ENSG00000006534	2.618277853
ENSG00000006555	5.244817634
ENSG00000006576	2.605154323
ENSG00000006607	4.620868407
ENSG00000006611	38.55262072
ENSG00000006625	8.915827387
ENSG00000006634	2.862944009
ENSG00000006638	0.156592343
ENSG00000006652	2.339270188
ENSG00000006695	2.0835536
ENSG00000006704	3.294315224
ENSG00000006712	37.3302626
ENSG00000006715	14.86654701
ENSG00000006740	2.073477661
ENSG00000006744	10.96373863
ENSG00000006747	4.482037596
ENSG00000006756	11.67544042
ENSG00000006757	1.461687809
