GeneID	Normal_2
ENSG00000000003	3.91521675
ENSG00000000005	0.155327688
ENSG00000000419	4.701605073
ENSG00000000457	2.314109833
ENSG00000000460	1.963327073
ENSG00000000938	2.259236779
ENSG00000000971	14.3147773
ENSG00000001036	5.503097964
ENSG00000001084	4.330141013
ENSG00000001167	9.333174006
ENSG00000001460	0.886006437
ENSG00000001461	7.400947824
ENSG00000001497	12.31853294
ENSG00000001561	2.105245963
ENSG00000001617	1.223721128
ENSG00000001626	0.180690259
ENSG00000001629	6.396956899
ENSG00000001630	9.486157096
ENSG00000001631	9.150162793
ENSG00000002016	1.983358055
ENSG00000002079	0.151565842
ENSG00000002330	6.611220396
ENSG00000002549	6.093750935
ENSG00000002586	19.02000123
ENSG00000002587	0.214369708
ENSG00000002726	0.301831643
ENSG00000002745	0.0589903
ENSG00000002746	0.1515246
ENSG00000002822	7.899567251
ENSG00000002834	14.00595713
ENSG00000002919	1.536378305
ENSG00000002933	2.095637598
ENSG00000003056	8.271236532
ENSG00000003096	1.743785525
ENSG00000003137	0.21480703
ENSG00000003147	7.236883154
ENSG00000003249	0.293108282
ENSG00000003393	3.227118193
ENSG00000003400	1.582384895
ENSG00000003402	12.046335
ENSG00000003436	5.5522799
ENSG00000003509	4.562863318
ENSG00000003756	31.31350358
ENSG00000003987	0.807726646
ENSG00000003989	2.572198694
ENSG00000004059	2.189965214
ENSG00000004139	2.622013675
ENSG00000004142	8.117340564
ENSG00000004399	4.806221027
ENSG00000004455	6.932883626
ENSG00000004468	0.485478548
ENSG00000004478	17.50617312
ENSG00000004487	13.13831952
ENSG00000004534	59.16705961
ENSG00000004660	1.692024388
ENSG00000004700	4.572416502
ENSG00000004766	2.482422124
ENSG00000004776	111.9908742
ENSG00000004777	0.501032876
ENSG00000004779	5.181895945
ENSG00000004799	46.24223736
ENSG00000004838	0.100766144
ENSG00000004846	0.195339014
ENSG00000004848	0.211187939
ENSG00000004864	4.796221412
ENSG00000004866	1.749053632
ENSG00000004897	4.786632312
ENSG00000004939	0.291079806
ENSG00000004961	4.325176343
ENSG00000004975	2.175369289
ENSG00000005001	0.386830063
ENSG00000005007	7.76851006
ENSG00000005020	9.73685549
ENSG00000005022	19.69841837
ENSG00000005059	2.616325657
ENSG00000005075	4.259056093
ENSG00000005100	2.208031425
ENSG00000005102	6.488046028
ENSG00000005108	1.406364042
ENSG00000005156	5.168411878
ENSG00000005175	4.608093959
ENSG00000005187	1.160795157
ENSG00000005189	0.981943292
ENSG00000005194	2.30248772
ENSG00000005206	3.744823355
ENSG00000005238	1.206610727
ENSG00000005243	4.33372188
ENSG00000005249	5.025252197
ENSG00000005302	2.724414679
ENSG00000005339	12.18500498
ENSG00000005379	8.144353819
ENSG00000005381	0.027278413
ENSG00000005421	0.312461119
ENSG00000005436	4.22046611
ENSG00000005448	0.988741361
ENSG00000005469	2.480414733
ENSG00000005471	0.323435925
ENSG00000005483	40.17187446
ENSG00000005486	1.182101804
ENSG00000005513	0.286467649
ENSG00000005700	6.151256435
ENSG00000005801	1.944227898
ENSG00000005810	16.48122044
ENSG00000005812	9.558610055
ENSG00000005844	1.80418714
ENSG00000005882	3.758902571
ENSG00000005884	7.98750442
ENSG00000005889	11.22018801
ENSG00000005893	4.271349243
ENSG00000005961	0.256443616
ENSG00000006007	6.107315407
ENSG00000006015	3.464895896
ENSG00000006016	2.79181268
ENSG00000006025	1.747463756
ENSG00000006042	1.212726604
ENSG00000006047	1.078890169
ENSG00000006062	11.36387538
ENSG00000006071	0.363278592
ENSG00000006118	1.619155942
ENSG00000006125	9.381300349
ENSG00000006194	5.293218691
ENSG00000006210	2.401778758
ENSG00000006282	4.307270066
ENSG00000006283	0.166431752
ENSG00000006327	8.941751523
ENSG00000006432	0.560670268
ENSG00000006451	12.85948292
ENSG00000006453	9.281585126
ENSG00000006459	8.212842196
ENSG00000006468	1.448356631
ENSG00000006530	2.914746112
ENSG00000006534	0.740321137
ENSG00000006555	0.695763061
ENSG00000006576	1.566350061
ENSG00000006607	2.140826035
