GeneID	GCa_2
ENSG00000000003	2.866860251
ENSG00000000005	0.027797888
ENSG00000000419	6.22930635
ENSG00000000457	3.088542046
ENSG00000000460	2.512617887
ENSG00000000938	3.716667254
ENSG00000000971	16.12429381
ENSG00000001036	8.700947972
ENSG00000001084	5.864687601
ENSG00000001167	9.177570122
ENSG00000001460	0.794024741
ENSG00000001461	6.420029255
ENSG00000001497	10.65013736
ENSG00000001561	0.97188015
ENSG00000001617	2.96292885
ENSG00000001626	3.893760531
ENSG00000001629	7.821070314
ENSG00000001630	8.480743995
ENSG00000001631	8.310331876
ENSG00000002016	1.954675838
ENSG00000002079	0.440775683
ENSG00000002330	5.882557174
ENSG00000002549	17.96687302
ENSG00000002586	25.80476087
ENSG00000002587	0.548060247
ENSG00000002726	3.587156076
ENSG00000002745	0.08234517
ENSG00000002746	0.386174671
ENSG00000002822	11.84170808
ENSG00000002834	19.79445052
ENSG00000002919	1.570010226
ENSG00000002933	4.669709607
ENSG00000003056	11.06719518
ENSG00000003096	0.890862004
ENSG00000003137	1.075359776
ENSG00000003147	9.269353831
ENSG00000003249	0.611861049
ENSG00000003393	3.881116825
ENSG00000003400	3.286794773
ENSG00000003402	15.74724633
ENSG00000003436	7.881913895
ENSG00000003509	4.854237611
ENSG00000003756	34.78755012
ENSG00000003987	0.695850682
ENSG00000003989	2.592992625
ENSG00000004059	2.58337615
ENSG00000004139	2.433232484
ENSG00000004142	6.952682994
ENSG00000004399	13.71867738
ENSG00000004455	9.217400114
ENSG00000004468	2.507041038
ENSG00000004478	8.216529807
ENSG00000004487	13.08876474
ENSG00000004534	62.6423428
ENSG00000004660	2.022517272
ENSG00000004700	7.468971722
ENSG00000004766	2.823790858
ENSG00000004776	56.00822447
ENSG00000004777	0.855102144
ENSG00000004779	4.839091102
ENSG00000004799	12.76085458
ENSG00000004838	0.133962384
ENSG00000004846	0.21756044
ENSG00000004848	0.028901905
ENSG00000004864	6.01352237
ENSG00000004866	2.193918011
ENSG00000004897	5.259845989
ENSG00000004939	0.325903554
ENSG00000004961	5.06004897
ENSG00000004975	2.643449259
ENSG00000005001	4.077974635
ENSG00000005007	9.505148432
ENSG00000005020	9.52656789
ENSG00000005022	14.26179913
ENSG00000005059	3.790210077
ENSG00000005075	6.259038125
ENSG00000005100	2.267454604
ENSG00000005102	12.47408406
ENSG00000005108	3.368163448
ENSG00000005156	3.997740394
ENSG00000005175	5.609919635
ENSG00000005187	0.595049652
ENSG00000005189	1.153132615
ENSG00000005194	3.003621616
ENSG00000005206	6.298911765
ENSG00000005238	1.592143665
ENSG00000005243	3.143218786
ENSG00000005249	3.809012372
ENSG00000005302	6.055925679
ENSG00000005339	10.72642842
ENSG00000005379	6.16095116
ENSG00000005381	0.139620135
ENSG00000005421	0.126425423
ENSG00000005436	3.869450759
ENSG00000005448	1.001501534
ENSG00000005469	3.074125955
ENSG00000005471	0.403113889
ENSG00000005483	34.62408996
ENSG00000005486	1.842620761
ENSG00000005513	0.181765071
ENSG00000005700	6.757831681
ENSG00000005801	2.743757212
ENSG00000005810	20.71847465
ENSG00000005812	8.720890668
ENSG00000005844	7.298899888
ENSG00000005882	2.661922921
ENSG00000005884	9.054108486
ENSG00000005889	10.68969831
ENSG00000005893	5.823119299
ENSG00000005961	0.395059519
ENSG00000006007	5.943970284
ENSG00000006015	7.78225385
ENSG00000006016	2.684089649
ENSG00000006025	3.071260576
ENSG00000006042	1.415028796
ENSG00000006047	0.678393674
ENSG00000006062	8.477524584
ENSG00000006071	0.049521909
ENSG00000006118	1.85272102
ENSG00000006125	14.24573066
ENSG00000006194	4.465793759
ENSG00000006210	1.817711474
ENSG00000006282	4.742125947
ENSG00000006283	0.099106385
ENSG00000006327	5.78806783
ENSG00000006432	0.480571756
ENSG00000006451	22.4261453
ENSG00000006453	9.117886889
ENSG00000006459	7.258977771
ENSG00000006468	0.793537777
ENSG00000006530	3.677711117
ENSG00000006534	1.209036125
ENSG00000006555	1.374790349
ENSG00000006576	2.903924414
ENSG00000006607	2.844322029
ENSG00000006611	9.26303401
ENSG00000006625	8.112997269
ENSG00000006634	1.747997679
ENSG00000006638	0.224333834
ENSG00000006652	2.542807078
ENSG00000006695	1.354489779
ENSG00000006704	3.302528562
ENSG00000006712	35.83051917
ENSG00000006715	12.35470204
ENSG00000006740	1.109100092
ENSG00000006744	9.289489034
ENSG00000006747	0.741225197
ENSG00000006756	6.843697692
ENSG00000006757	1.053508452
ENSG00000006788	0.253766828
ENSG00000006831	4.438913181
ENSG00000006837	0.658801763
ENSG00000007001	0.037837842
ENSG00000007047	4.567412291
ENSG00000007062	1.432821462
ENSG00000007080	26.35398873
ENSG00000007129	0.843136554
ENSG00000007168	14.64836169
ENSG00000007171	0.348305674
ENSG00000007174	0.019767933
ENSG00000007202	17.40510505
ENSG00000007237	9.965652963
ENSG00000007255	6.115982286
ENSG00000007264	0.664672274
ENSG00000007312	2.409863066
ENSG00000007314	0.043414187
ENSG00000007341	3.536887987
ENSG00000007372	0.12413331
ENSG00000007376	1.123309745
ENSG00000007384	3.392569886
ENSG00000007392	15.76846003
ENSG00000007402	0.782249806
ENSG00000007516	0.695422109
ENSG00000007520	28.26416801
ENSG00000007541	1.033364684
ENSG00000007545	5.109924447
ENSG00000007866	10.96090986
ENSG00000007908	23.60719729
ENSG00000007923	17.38500045
ENSG00000007933	2.81735569
ENSG00000007944	4.744017089
ENSG00000007968	0.861138534
ENSG00000008018	7.95505076
ENSG00000008056	0.432344217
ENSG00000008083	12.30286463
ENSG00000008086	0.773212705
ENSG00000008118	0.192331053
ENSG00000008128	31.21683316
ENSG00000008130	8.72192425
ENSG00000008226	1.72834986
ENSG00000008256	4.792934068
ENSG00000008277	0.838300357
ENSG00000008282	4.125914424
ENSG00000008283	4.202053119
ENSG00000008294	16.79560108
ENSG00000008300	0.391341049
ENSG00000008311	4.918034327
ENSG00000008323	1.024313023
ENSG00000008324	1.513606757
ENSG00000008382	7.295283714
ENSG00000008394	2.093360313
ENSG00000008405	5.304772792
ENSG00000008438	1.491819993
ENSG00000008441	15.72305362
ENSG00000008513	7.559933256
ENSG00000008516	2.012113006
ENSG00000008517	19.81810106
ENSG00000008710	6.096996478
ENSG00000008735	1.092130549
ENSG00000008838	4.294178779
ENSG00000008853	3.070927326
