GeneID	Normal_1
ENSG00000000003	4.092531432
ENSG00000000005	0.282806228
ENSG00000000419	6.305149619
ENSG00000000457	3.206753362
ENSG00000000460	2.263745287
ENSG00000000938	1.05475706
ENSG00000000971	7.150072904
ENSG00000001036	7.040960399
ENSG00000001084	6.156373785
ENSG00000001167	11.24199899
ENSG00000001460	1.062309376
ENSG00000001461	10.37056412
ENSG00000001497	7.716071153
ENSG00000001561	3.98113662
ENSG00000001617	2.848377133
ENSG00000001626	0.488776291
ENSG00000001629	5.859866677
ENSG00000001630	11.58598481
ENSG00000001631	8.639174128
ENSG00000002016	1.293664129
ENSG00000002079	0.269912237
ENSG00000002330	9.152567673
ENSG00000002549	10.95260825
ENSG00000002586	15.28422412
ENSG00000002587	0.289409427
ENSG00000002726	0.99223768
ENSG00000002745	0.006648823
ENSG00000002746	0.308963863
ENSG00000002822	9.347469468
ENSG00000002834	27.76782538
ENSG00000002919	1.761722286
ENSG00000002933	2.175036496
ENSG00000003056	7.75539486
ENSG00000003096	0.444006723
ENSG00000003137	0.181582463
ENSG00000003147	17.30643822
ENSG00000003249	0.746712332
ENSG00000003393	3.862803349
ENSG00000003400	3.121861149
ENSG00000003402	10.53149521
ENSG00000003436	2.291453113
ENSG00000003509	3.569095669
ENSG00000003756	35.34377742
ENSG00000003987	0.384726439
ENSG00000003989	2.301206737
ENSG00000004059	3.349034378
ENSG00000004139	1.989657056
ENSG00000004142	10.51889831
ENSG00000004399	4.41963385
ENSG00000004455	12.63352587
ENSG00000004468	0.819196061
ENSG00000004478	32.41807425
ENSG00000004487	7.404128949
ENSG00000004534	50.81655847
ENSG00000004660	0.861548247
ENSG00000004700	4.550999461
ENSG00000004766	3.0112352
ENSG00000004776	6.736218802
ENSG00000004777	0.655400745
ENSG00000004779	7.466673593
ENSG00000004799	13.40539486
ENSG00000004838	0.313680475
ENSG00000004846	0.17566553
ENSG00000004848	0.78410165
ENSG00000004864	7.316880625
ENSG00000004866	2.064628082
ENSG00000004897	3.107387304
ENSG00000004939	0.0369087
ENSG00000004961	5.069922353
ENSG00000004975	2.030390133
ENSG00000005001	1.625908728
ENSG00000005007	8.650034052
ENSG00000005020	3.236560162
ENSG00000005022	49.0008924
ENSG00000005059	1.42883498
ENSG00000005075	5.008418287
ENSG00000005100	2.045593185
ENSG00000005102	2.474946264
ENSG00000005108	0.599131381
ENSG00000005156	3.665382366
ENSG00000005175	3.908447588
ENSG00000005187	2.466992024
ENSG00000005189	1.812966192
ENSG00000005194	3.812390214
ENSG00000005206	6.519747875
ENSG00000005238	1.265251558
ENSG00000005243	0.737954662
ENSG00000005249	2.460418548
ENSG00000005302	2.556691359
ENSG00000005339	6.864787113
ENSG00000005379	6.236814696
ENSG00000005381	0.018447372
ENSG00000005421	0.168432146
ENSG00000005436	3.967394473
ENSG00000005448	0.705037904
ENSG00000005469	2.164261893
ENSG00000005471	0.133088243
ENSG00000005483	25.30131794
ENSG00000005486	1.554410852
ENSG00000005513	0.14676316
ENSG00000005700	10.61469068
ENSG00000005801	3.847201671
ENSG00000005810	16.01829609
ENSG00000005812	8.480459744
ENSG00000005844	3.768856172
ENSG00000005882	3.042020161
ENSG00000005884	5.682572122
ENSG00000005889	4.987992104
ENSG00000005893	5.630365272
ENSG00000005961	0.093742291
ENSG00000006007	8.155228201
ENSG00000006015	4.703087149
ENSG00000006016	1.738567996
ENSG00000006025	7.406522404
ENSG00000006042	2.307376048
ENSG00000006047	0.446031188
ENSG00000006062	4.434915845
ENSG00000006071	0.447839114
ENSG00000006118	4.836734578
ENSG00000006125	9.796394809
ENSG00000006194	4.380069193
ENSG00000006210	1.145153303
ENSG00000006282	8.738537573
ENSG00000006283	0.004466332
ENSG00000006327	0.868211038
ENSG00000006432	1.150084748
ENSG00000006451	14.61821405
ENSG00000006453	31.75449864
ENSG00000006459	9.898217973
ENSG00000006468	0.26380739
ENSG00000006530	3.404445013
ENSG00000006534	1.544493615
ENSG00000006555	3.387447236
ENSG00000006576	1.133492769
ENSG00000006607	3.757799443
ENSG00000006611	12.74204297
ENSG00000006625	2.728894158
ENSG00000006634	1.627436813
ENSG00000006638	0.062103289
ENSG00000006652	3.381540261
ENSG00000006695	2.406052144
ENSG00000006704	1.765108943
ENSG00000006712	23.02270239
ENSG00000006715	12.03186245
ENSG00000006740	1.221806599
ENSG00000006744	9.113536548
ENSG00000006747	4.234510067
ENSG00000006756	15.4887701
ENSG00000006757	2.028928531
ENSG00000006788	0.635189291
ENSG00000006831	14.18649955
ENSG00000006837	0.56030849
ENSG00000007001	0.007332368
ENSG00000007047	3.316653721
ENSG00000007062	3.607801985
ENSG00000007080	18.58627516
ENSG00000007129	0.353267793
ENSG00000007168	14.19842464
ENSG00000007171	0.025960023
ENSG00000007174	0.042137795
ENSG00000007202	17.40649109
ENSG00000007237	2.565323159
ENSG00000007255	6.669538798
ENSG00000007264	0.445050451
ENSG00000007312	0.510773427
ENSG00000007314	0.097275009
ENSG00000007341	2.069007713
ENSG00000007372	0.159878053
ENSG00000007376	1.229340663
ENSG00000007384	1.628121324
ENSG00000007392	15.02560722
ENSG00000007402	1.629050954
ENSG00000007516	1.509895057
ENSG00000007520	31.65928125
ENSG00000007541	1.075312479
ENSG00000007545	3.827268167
ENSG00000007866	3.964795999
ENSG00000007908	0.226985151
ENSG00000007923	17.37786685
ENSG00000007933	1.471332815
ENSG00000007944	4.189100273
ENSG00000007968	0.250312274
ENSG00000008018	6.794787338
ENSG00000008056	0.216210017
ENSG00000008083	8.456446904
ENSG00000008086	0.665374457
ENSG00000008118	0.016204642
ENSG00000008128	20.66252124
ENSG00000008130	9.307218962
ENSG00000008226	2.540552788
ENSG00000008256	2.840884645
ENSG00000008277	0.337695225
ENSG00000008282	4.422965683
ENSG00000008283	7.091419321
ENSG00000008294	11.08829879
ENSG00000008300	0.260587435
ENSG00000008311	3.438108965
ENSG00000008323	2.743308925
ENSG00000008324	1.98319407
ENSG00000008382	9.798612395
ENSG00000008394	2.410061496
ENSG00000008405	4.32608236
ENSG00000008438	0.240909009
ENSG00000008441	17.98331086
ENSG00000008513	11.68915129
ENSG00000008516	1.019454991
ENSG00000008517	5.391737306
ENSG00000008710	3.871918383
ENSG00000008735	0.492350898
ENSG00000008838	4.97666384
ENSG00000008853	2.392248425
ENSG00000008869	5.939643026
ENSG00000008952	30.74507026
ENSG00000008988	46.15871179
ENSG00000009307	52.79359573
ENSG00000009335	8.479892596
ENSG00000009413	6.636291868
ENSG00000009694	0.294224325
ENSG00000009724	0.535542257
ENSG00000009765	0.447781076
ENSG00000009780	3.321606116
ENSG00000009790	1.737342517
ENSG00000009830	0.920740367
ENSG00000009844	3.708180806
ENSG00000009950	0.279184272
ENSG00000009954	36.85877094
ENSG00000010017	8.013265598
ENSG00000010030	2.018399404
ENSG00000010072	1.997105498
ENSG00000010165	5.495520375
ENSG00000010219	0.670064468
ENSG00000010244	8.404746882
ENSG00000010256	48.37536278
ENSG00000010270	0.832765042
ENSG00000010278	3.752747489
ENSG00000010292	5.795631251
ENSG00000010295	2.341952271
ENSG00000010310	9.385074353
ENSG00000010318	1.693589617
ENSG00000010319	3.154268623
ENSG00000010322	9.611377977
ENSG00000010327	4.195884995
ENSG00000010361	1.477303041
ENSG00000010404	2.433720261
ENSG00000010438	3.00991484
ENSG00000010539	0.702678051
ENSG00000010610	1.930215755
ENSG00000010626	1.178513619
ENSG00000010671	0.815141302
ENSG00000010704	1.833880032
ENSG00000010803	4.027248869
ENSG00000010810	4.844835876
ENSG00000010818	5.528040977
ENSG00000010932	0.078251955
ENSG00000011007	26.27476719
ENSG00000011009	3.949328014
ENSG00000011021	2.275058844
